backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
neon,decode,standard,padded,192,1,87381,50818511,314.844702
neon,decode,standard,padded,192,2,87381,50666424,315.789782
neon,decode,standard,padded,192,3,87381,50754729,315.240358
neon,decode,standard,padded,192,4,87381,50869891,314.526700
neon,decode,standard,padded,192,5,87381,50775735,315.109943
neon,decode,standard,padded,192,6,87381,50625320,316.046179
neon,decode,standard,padded,192,7,87381,50691277,315.634956
neon,decode,standard,padded,192,8,87381,50632701,316.000108
neon,decode,standard,padded,192,9,87381,50657369,315.846229
neon,decode,standard,padded,192,10,87381,50641432,315.945627
neon,decode,standard,padded,192,11,87381,50685368,315.671753
neon,decode,standard,padded,192,12,87381,50612208,316.128057
neon,decode,standard,padded,192,13,87381,50659114,315.835349
neon,decode,standard,padded,192,14,87381,50614608,316.113067
scalar,encode,standard,padded,384,0,43690,17117923,934.678574
scalar,encode,standard,padded,384,1,43690,17134380,933.780846
scalar,encode,standard,padded,384,2,43690,17138534,933.554519
scalar,encode,standard,padded,384,3,43690,17135862,933.700088
scalar,encode,standard,padded,384,4,43690,17145284,933.186984
scalar,encode,standard,padded,384,5,43690,17131827,933.919999
scalar,encode,standard,padded,384,6,43690,17138652,933.548091
scalar,encode,standard,padded,384,7,43690,17137423,933.615040
scalar,encode,standard,padded,384,8,43690,17131468,933.939570
scalar,encode,standard,padded,384,9,43690,17134749,933.760737
scalar,encode,standard,padded,384,10,43690,17129452,934.049487
scalar,encode,standard,padded,384,11,43690,17139179,933.519386
scalar,encode,standard,padded,384,12,43690,17133118,933.849627
scalar,encode,standard,padded,384,13,43690,17136064,933.689082
scalar,encode,standard,padded,384,14,43690,17133057,933.852952
scalar,decode,standard,padded,384,0,43690,109515985,146.095165
scalar,decode,standard,padded,384,1,43690,109564340,146.030687
scalar,decode,standard,padded,384,2,43690,109554648,146.043606
scalar,decode,standard,padded,384,3,43690,109542491,146.059814
scalar,decode,standard,padded,384,4,43690,109577596,146.013021
scalar,decode,standard,padded,384,5,43690,109551251,146.048135
scalar,decode,standard,padded,384,6,43690,109564886,146.029959
scalar,decode,standard,padded,384,7,43690,109547972,146.052506
scalar,decode,standard,padded,384,8,43690,109560630,146.035632
scalar,decode,standard,padded,384,9,43690,109642534,145.926542
scalar,decode,standard,padded,384,10,43690,109554428,146.043899
scalar,decode,standard,padded,384,11,43690,109536059,146.068391
scalar,decode,standard,padded,384,12,43690,109535452,146.069200
scalar,decode,standard,padded,384,13,43690,109571288,146.021427
scalar,decode,standard,padded,384,14,43690,109542274,146.060103
neon,encode,standard,padded,384,0,43690,7494013,2135.005085
neon,encode,standard,padded,384,1,43690,7484448,2137.733586
neon,encode,standard,padded,384,2,43690,7493235,2135.226756
neon,encode,standard,padded,384,3,43690,7496394,2134.326966
neon,encode,standard,padded,384,4,43690,7490066,2136.130157
neon,encode,standard,padded,384,5,43690,7492030,2135.570180
neon,encode,standard,padded,384,6,43690,7504118,2132.130100
neon,encode,standard,padded,384,7,43690,7504529,2132.013329
neon,encode,standard,padded,384,8,43690,7499116,2133.552256
neon,encode,standard,padded,384,9,43690,7498612,2133.695657
neon,encode,standard,padded,384,10,43690,7484664,2137.671893
neon,encode,standard,padded,384,11,43690,7497019,2134.149034
neon,encode,standard,padded,384,12,43690,7497164,2134.107759
neon,encode,standard,padded,384,13,43690,7498169,2133.821718
neon,encode,standard,padded,384,14,43690,7498896,2133.614849
neon,decode,standard,padded,384,0,43690,53464815,299.257668
neon,decode,standard,padded,384,1,43690,51806123,308.839090
neon,decode,standard,padded,384,2,43690,52156425,306.764811
neon,decode,standard,padded,384,3,43690,51712080,309.400741
neon,decode,standard,padded,384,4,43690,51294425,311.919977
neon,decode,standard,padded,384,5,43690,51013503,313.637663
neon,decode,standard,padded,384,6,43690,51766668,309.074477
neon,decode,standard,padded,384,7,43690,51763962,309.090635
neon,decode,standard,padded,384,8,43690,51997070,307.704951
neon,decode,standard,padded,384,9,43690,50907437,314.291129
neon,decode,standard,padded,384,10,43690,50338953,317.840458
neon,decode,standard,padded,384,11,43690,50334454,317.868867
neon,decode,standard,padded,384,12,43690,50337296,317.850920
neon,decode,standard,padded,384,13,43690,51711310,309.405348
neon,decode,standard,padded,384,14,43690,50991641,313.772131
scalar,encode,standard,padded,768,0,21845,14154071,1130.399576
scalar,encode,standard,padded,768,1,21845,14155778,1130.263265
scalar,encode,standard,padded,768,2,21845,14158481,1130.047486
scalar,encode,standard,padded,768,3,21845,14160122,1129.916526
scalar,encode,standard,padded,768,4,21845,14153178,1130.470899
scalar,encode,standard,padded,768,5,21845,14159999,1129.926341
scalar,encode,standard,padded,768,6,21845,14160362,1129.897375
scalar,encode,standard,padded,768,7,21845,14154510,1130.364517
scalar,encode,standard,padded,768,8,21845,14156525,1130.203624
scalar,encode,standard,padded,768,9,21845,14159585,1129.959378
scalar,encode,standard,padded,768,10,21845,14159186,1129.991220
scalar,encode,standard,padded,768,11,21845,14161325,1129.820540
scalar,encode,standard,padded,768,12,21845,14160467,1129.888997
scalar,encode,standard,padded,768,13,21845,14153177,1130.470979
scalar,encode,standard,padded,768,14,21845,14157377,1130.135608
scalar,decode,standard,padded,768,0,21845,108966377,146.832044
scalar,decode,standard,padded,768,1,21845,108957137,146.844496
scalar,decode,standard,padded,768,2,21845,109081445,146.677154
scalar,decode,standard,padded,768,3,21845,108986202,146.805335
scalar,decode,standard,padded,768,4,21845,108970786,146.826103
scalar,decode,standard,padded,768,5,21845,108998481,146.788797
scalar,decode,standard,padded,768,6,21845,108992032,146.797482
scalar,decode,standard,padded,768,7,21845,108981076,146.812240
scalar,decode,standard,padded,768,8,21845,108982174,146.810761
scalar,decode,standard,padded,768,9,21845,108990303,146.799811
scalar,decode,standard,padded,768,10,21845,109000190,146.786495
scalar,decode,standard,padded,768,11,21845,109076859,146.683320
scalar,decode,standard,padded,768,12,21845,109187832,146.534239
scalar,decode,standard,padded,768,13,21845,109152992,146.581010
scalar,decode,standard,padded,768,14,21845,109153838,146.579874
neon,encode,standard,padded,768,0,21845,7190977,2224.976642
neon,encode,standard,padded,768,1,21845,7188216,2225.831258
neon,encode,standard,padded,768,2,21845,7201570,2221.703859
neon,encode,standard,padded,768,3,21845,7169105,2231.764754
neon,encode,standard,padded,768,4,21845,7186626,2226.323710
neon,encode,standard,padded,768,5,21845,7199116,2222.461183
neon,encode,standard,padded,768,6,21845,7195046,2223.718356
neon,encode,standard,padded,768,7,21845,7192357,2224.549735
neon,encode,standard,padded,768,8,21845,7185691,2226.613399
neon,encode,standard,padded,768,9,21845,7186168,2226.465602
neon,encode,standard,padded,768,10,21845,7194067,2224.020969
neon,encode,standard,padded,768,11,21845,7188360,2225.786669
neon,encode,standard,padded,768,12,21845,7195252,2223.654691
neon,encode,standard,padded,768,13,21845,7184153,2227.090077
neon,encode,standard,padded,768,14,21845,7186215,2226.451040
neon,decode,standard,padded,768,0,21845,54687363,292.567697
neon,decode,standard,padded,768,1,21845,52295756,305.947501
neon,decode,standard,padded,768,2,21845,52131091,306.913889
neon,decode,standard,padded,768,3,21845,52016184,307.591881
neon,decode,standard,padded,768,4,21845,51697723,309.486665
neon,decode,standard,padded,768,5,21845,51702431,309.458483
neon,decode,standard,padded,768,6,21845,51700735,309.468634
neon,decode,standard,padded,768,7,21845,52840662,302.792495
neon,decode,standard,padded,768,8,21845,52928405,302.290535
neon,decode,standard,padded,768,9,21845,52240145,306.273190
neon,decode,standard,padded,768,10,21845,52280089,306.039186
neon,decode,standard,padded,768,11,21845,52355846,305.596358
neon,decode,standard,padded,768,12,21845,51422706,311.141850
neon,decode,standard,padded,768,13,21845,51273997,312.044248
