backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,encode,standard,padded,64,11,262144,13651125,1172.064573
scalar,encode,standard,padded,64,12,262144,13637000,1173.278580
scalar,encode,standard,padded,64,13,262144,13807708,1158.773056
scalar,encode,standard,padded,64,14,262144,13520792,1183.362631
scalar,decode,standard,padded,64,0,262144,68658708,233.036718
scalar,decode,standard,padded,64,1,262144,68255125,234.414632
scalar,decode,standard,padded,64,2,262144,69266417,230.992170
scalar,decode,standard,padded,64,3,262144,70602125,226.622074
scalar,decode,standard,padded,64,4,262144,70432042,227.169333
scalar,decode,standard,padded,64,5,262144,70592417,226.653240
scalar,decode,standard,padded,64,6,262144,70824208,225.911457
scalar,decode,standard,padded,64,7,262144,70459042,227.082281
scalar,decode,standard,padded,64,8,262144,70796542,225.999739
scalar,decode,standard,padded,64,9,262144,70373167,227.359385
scalar,decode,standard,padded,64,10,262144,70390292,227.304072
scalar,decode,standard,padded,64,11,262144,70149208,228.085255
scalar,decode,standard,padded,64,12,262144,70801917,225.982582
scalar,decode,standard,padded,64,13,262144,70408792,227.244348
scalar,decode,standard,padded,64,14,262144,70067792,228.350281
neon,encode,standard,padded,64,0,262144,7589084,2108.291330
neon,encode,standard,padded,64,1,262144,8123917,1969.493288
neon,encode,standard,padded,64,2,262144,7815625,2047.181128
neon,encode,standard,padded,64,3,262144,7790416,2053.805599
neon,encode,standard,padded,64,4,262144,7722583,2071.845651
neon,encode,standard,padded,64,5,262144,7748875,2064.815860
neon,encode,standard,padded,64,6,262144,7544500,2120.750215
neon,encode,standard,padded,64,7,262144,7562916,2115.586105
neon,encode,standard,padded,64,8,262144,7538250,2122.508540
neon,encode,standard,padded,64,9,262144,7500208,2133.274171
neon,encode,standard,padded,64,10,262144,7448958,2147.951432
neon,encode,standard,padded,64,11,262144,7430959,2153.154122
neon,encode,standard,padded,64,12,262144,7473084,2141.017015
neon,encode,standard,padded,64,13,262144,7427416,2154.181212
neon,encode,standard,padded,64,14,262144,7417541,2157.049081
neon,decode,standard,padded,64,0,262144,35969334,444.823360
neon,decode,standard,padded,64,1,262144,35989667,444.572049
neon,decode,standard,padded,64,2,262144,35956167,444.986252
neon,decode,standard,padded,64,3,262144,35962958,444.902224
neon,decode,standard,padded,64,4,262144,35976500,444.734757
neon,decode,standard,padded,64,5,262144,35968209,444.837273
neon,decode,standard,padded,64,6,262144,35949000,445.074967
neon,decode,standard,padded,64,7,262144,35998084,444.468100
neon,decode,standard,padded,64,8,262144,35942292,445.158033
neon,decode,standard,padded,64,9,262144,35987209,444.602414
neon,decode,standard,padded,64,10,262144,35987708,444.596249
neon,decode,standard,padded,64,11,262144,35963000,444.901705
neon,decode,standard,padded,64,12,262144,35962709,444.905305
neon,decode,standard,padded,64,13,262144,35946750,445.102826
neon,decode,standard,padded,64,14,262144,35969250,444.824399
scalar,encode,standard,padded,96,0,174762,18028959,887.457726
scalar,encode,standard,padded,96,1,174762,18025583,887.623938
scalar,encode,standard,padded,96,2,174762,18017584,888.018003
scalar,encode,standard,padded,96,3,174762,18041959,886.818275
scalar,encode,standard,padded,96,4,174762,18017084,888.042647
scalar,encode,standard,padded,96,5,174762,18017917,888.001591
scalar,encode,standard,padded,96,6,174762,18027833,887.513156
scalar,encode,standard,padded,96,7,174762,18017667,888.013912
scalar,encode,standard,padded,96,8,174762,18059542,885.954858
scalar,encode,standard,padded,96,9,174762,18091541,884.387845
scalar,encode,standard,padded,96,10,174762,18050000,886.423211
scalar,encode,standard,padded,96,11,174762,18050375,886.404796
scalar,encode,standard,padded,96,12,174762,18076792,885.109425
scalar,encode,standard,padded,96,13,174762,18065583,885.658601
scalar,encode,standard,padded,96,14,174762,18036583,887.082601
scalar,decode,standard,padded,96,0,174762,67875709,235.724079
scalar,decode,standard,padded,96,1,174762,67601042,236.681839
scalar,decode,standard,padded,96,2,174762,67579958,236.755681
scalar,decode,standard,padded,96,3,174762,67519542,236.967528
scalar,decode,standard,padded,96,4,174762,67501834,237.029693
scalar,decode,standard,padded,96,5,174762,67522250,236.958024
scalar,decode,standard,padded,96,6,174762,67612250,236.642605
scalar,decode,standard,padded,96,7,174762,67520750,236.963289
scalar,decode,standard,padded,96,8,174762,67566417,236.803129
scalar,decode,standard,padded,96,9,174762,67536375,236.908465
scalar,decode,standard,padded,96,10,174762,67477166,237.116345
scalar,decode,standard,padded,96,11,174762,67782458,236.048374
scalar,decode,standard,padded,96,12,174762,67620750,236.612859
scalar,decode,standard,padded,96,13,174762,67594125,236.706059
scalar,decode,standard,padded,96,14,174762,67787792,236.029800
neon,encode,standard,padded,96,0,174762,4273083,3744.354829
neon,encode,standard,padded,96,1,174762,4273084,3744.353953
neon,encode,standard,padded,96,2,174762,4279584,3738.666881
neon,encode,standard,padded,96,3,174762,4273084,3744.353953
neon,encode,standard,padded,96,4,174762,4286000,3733.070220
neon,encode,standard,padded,96,5,174762,4303417,3717.961556
neon,encode,standard,padded,96,6,174762,4312583,3710.059369
neon,encode,standard,padded,96,7,174762,4278833,3739.323074
neon,encode,standard,padded,96,8,174762,4273084,3744.353953
neon,encode,standard,padded,96,9,174762,4279666,3738.595247
neon,encode,standard,padded,96,10,174762,4281542,3736.957144
neon,encode,standard,padded,96,11,174762,4279834,3738.448492
neon,encode,standard,padded,96,12,174762,4282875,3735.794055
neon,encode,standard,padded,96,13,174762,4296250,3724.163856
neon,encode,standard,padded,96,14,174762,4285125,3733.832494
neon,decode,standard,padded,96,0,174762,31513250,507.721005
neon,decode,standard,padded,96,1,174762,31578666,506.669248
neon,decode,standard,padded,96,2,174762,31471917,508.387810
neon,decode,standard,padded,96,3,174762,31562167,506.934108
neon,decode,standard,padded,96,4,174762,31551166,507.110861
neon,decode,standard,padded,96,5,174762,31552000,507.097457
neon,decode,standard,padded,96,6,174762,31529542,507.458655
neon,decode,standard,padded,96,7,174762,31667250,505.251923
neon,decode,standard,padded,96,8,174762,31951375,500.759012
neon,decode,standard,padded,96,9,174762,31741958,504.062760
neon,decode,standard,padded,96,10,174762,31529500,507.459331
neon,decode,standard,padded,96,11,174762,31544416,507.219375
neon,decode,standard,padded,96,12,174762,31505417,507.847237
neon,decode,standard,padded,96,13,174762,31512083,507.739808
neon,decode,standard,padded,96,14,174762,31518791,507.631748
scalar,encode,standard,padded,192,0,87381,11876834,1347.155224
scalar,encode,standard,padded,192,1,87381,11856875,1349.422927
scalar,encode,standard,padded,192,2,87381,11879333,1346.871829
scalar,encode,standard,padded,192,3,87381,11851875,1349.992213
scalar,encode,standard,padded,192,4,87381,11852667,1349.902006
scalar,encode,standard,padded,192,5,87381,12066375,1325.993844
scalar,encode,standard,padded,192,6,87381,12370000,1293.446966
scalar,encode,standard,padded,192,7,87381,12376167,1292.802446
scalar,encode,standard,padded,192,8,87381,12433542,1286.836765
scalar,encode,standard,padded,192,9,87381,12359917,1294.502137
scalar,encode,standard,padded,192,10,87381,12378166,1292.593666
scalar,encode,standard,padded,192,11,87381,12363334,1294.144360
scalar,encode,standard,padded,192,12,87381,12412875,1288.979303
scalar,encode,standard,padded,192,13,87381,12388375,1291.528466
scalar,encode,standard,padded,192,14,87381,12382208,1292.171716
scalar,decode,standard,padded,192,0,87381,66892250,239.189726
scalar,decode,standard,padded,192,1,87381,64572125,247.783993
scalar,decode,standard,padded,192,2,87381,64701417,247.288849
scalar,decode,standard,padded,192,3,87381,64696583,247.307326
scalar,decode,standard,padded,192,4,87381,64604958,247.658066
scalar,decode,standard,padded,192,5,87381,64569917,247.792466
scalar,decode,standard,padded,192,6,87381,64605750,247.655030
scalar,decode,standard,padded,192,7,87381,64650666,247.482972
scalar,decode,standard,padded,192,8,87381,64616709,247.613028
scalar,decode,standard,padded,192,9,87381,64761750,247.058471
scalar,decode,standard,padded,192,10,87381,64600833,247.673880
scalar,decode,standard,padded,192,11,87381,64625042,247.581100
scalar,decode,standard,padded,192,12,87381,64583917,247.738752
scalar,decode,standard,padded,192,13,87381,64635375,247.541520
scalar,decode,standard,padded,192,14,87381,64624708,247.582379
neon,encode,standard,padded,192,0,87381,3485500,4590.428623
neon,encode,standard,padded,192,1,87381,3485458,4590.483938
neon,encode,standard,padded,192,2,87381,3485500,4590.428623
neon,encode,standard,padded,192,3,87381,3485417,4590.537937
neon,encode,standard,padded,192,4,87381,3488542,4586.425780
neon,encode,standard,padded,192,5,87381,3485458,4590.483938
neon,encode,standard,padded,192,6,87381,3485375,4590.593255
neon,encode,standard,padded,192,7,87381,3488584,4586.370563
neon,encode,standard,padded,192,8,87381,3485458,4590.483938
neon,encode,standard,padded,192,9,87381,3485416,4590.539254
neon,encode,standard,padded,192,10,87381,3488791,4586.098441
neon,encode,standard,padded,192,11,87381,3498209,4573.751587
neon,encode,standard,padded,192,12,87381,3485458,4590.483938
neon,encode,standard,padded,192,13,87381,3512625,4554.980667
neon,encode,standard,padded,192,14,87381,3491917,4581.992918
