schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,ssse3-sse4.1,decode,standard,padded,65536,x86_64,linux,77.543550,301.613392,0.257096,non-admissible-below-scalar
1,auto,decode,standard,unpadded,1,x86_64,linux,67.780568,112.411885,0.602966,non-admissible-below-scalar
1,auto,decode,standard,unpadded,1024,x86_64,linux,146.896974,287.817826,0.510382,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,1024,x86_64,linux,113.264326,287.817826,0.393528,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,1024,x86_64,linux,147.431324,287.817826,0.512238,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,1024,x86_64,linux,79.051667,287.817826,0.274659,non-admissible-below-scalar
1,auto,decode,standard,unpadded,11,x86_64,linux,231.762530,255.600516,0.906737,non-admissible-below-scalar
1,auto,decode,standard,unpadded,12,x86_64,linux,68.737761,263.656510,0.260710,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,12,x86_64,linux,69.302540,263.656510,0.262852,non-admissible-below-scalar
1,auto,decode,standard,unpadded,15,x86_64,linux,79.549279,269.722094,0.294931,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,15,x86_64,linux,81.050089,269.722094,0.300495,non-admissible-below-scalar
1,auto,decode,standard,unpadded,16,x86_64,linux,82.326322,263.589874,0.312327,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,16,x86_64,linux,83.717740,263.589874,0.317606,non-admissible-below-scalar
1,auto,decode,standard,unpadded,2,x86_64,linux,124.484136,171.774598,0.724695,non-admissible-below-scalar
1,auto,decode,standard,unpadded,23,x86_64,linux,104.044396,278.287561,0.373874,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,23,x86_64,linux,103.433400,278.287561,0.371678,non-admissible-below-scalar
1,auto,decode,standard,unpadded,24,x86_64,linux,101.586334,280.178778,0.362577,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,24,x86_64,linux,104.419523,280.178778,0.372689,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,24,x86_64,linux,74.362385,280.178778,0.265410,non-admissible-below-scalar
1,auto,decode,standard,unpadded,3,x86_64,linux,147.479211,195.012456,0.756255,non-admissible-below-scalar
1,auto,decode,standard,unpadded,31,x86_64,linux,116.063710,279.131866,0.415802,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,31,x86_64,linux,116.728604,279.131866,0.418184,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,31,x86_64,linux,87.004526,279.131866,0.311697,non-admissible-below-scalar
1,auto,decode,standard,unpadded,32,x86_64,linux,116.576577,281.678111,0.413865,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,32,x86_64,linux,118.754448,281.678111,0.421596,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,32,x86_64,linux,88.382334,281.678111,0.313771,non-admissible-below-scalar
1,auto,decode,standard,unpadded,47,x86_64,linux,102.227317,282.707030,0.361602,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,47,x86_64,linux,101.881213,282.707030,0.360377,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,47,x86_64,linux,89.378140,282.707030,0.316151,non-admissible-below-scalar
1,auto,decode,standard,unpadded,48,x86_64,linux,139.972864,284.720729,0.491615,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,48,x86_64,linux,106.203914,284.720729,0.373011,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,48,x86_64,linux,139.740184,284.720729,0.490797,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,48,x86_64,linux,75.182379,284.720729,0.264057,non-admissible-below-scalar
