schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-5-correction-amd-9950x3d,run-1,2,base64-0.23.0,decode,standard,padded,1,4,4194304,54432201,73.485913,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64-0.23.0,decode,standard,padded,1,4,4194304,53968850,74.116829,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64-0.23.0,decode,standard,padded,1,4,4194304,53890953,74.223961,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64ct-1.8.3,encode,standard,padded,1,4,4194304,33224847,120.391826,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64ct-1.8.3,encode,standard,padded,1,4,4194304,33822483,118.264528,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64ct-1.8.3,encode,standard,padded,1,4,4194304,33271506,120.222992,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64ct-1.8.3,encode,standard,padded,1,4,4194304,33145418,120.680331,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64ct-1.8.3,encode,standard,padded,1,4,4194304,33144366,120.684161,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64ct-1.8.3,decode,standard,padded,1,4,4194304,107451192,37.226204,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64ct-1.8.3,decode,standard,padded,1,4,4194304,106868656,37.429122,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64ct-1.8.3,decode,standard,padded,1,4,4194304,106646768,37.506997,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64ct-1.8.3,decode,standard,padded,1,4,4194304,108637315,36.819761,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64ct-1.8.3,decode,standard,padded,1,4,4194304,105833387,37.795256,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64-ng,encode,standard,padded,2,4,2097152,18781077,212.980331,auto,avx512-vbmi,avx512-vbmi,x86_64,linux,0
