backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
avx2,standard,padded,192,5,87381,18734402,854.040549
avx2,standard,padded,192,6,87381,18768186,852.503218
avx2,standard,padded,192,7,87381,18779126,852.006582
avx2,standard,padded,192,8,87381,18753778,853.158172
avx2,standard,padded,192,9,87381,18735394,853.995329
avx2,standard,padded,192,10,87381,18697333,855.733754
avx2,standard,padded,192,11,87381,18693916,855.890171
avx2,standard,padded,192,12,87381,18714885,854.931193
avx2,standard,padded,192,13,87381,18681622,856.453415
avx2,standard,padded,192,14,87381,18711709,855.076304
avx512-vbmi,standard,padded,192,0,87381,18721528,854.627836
avx512-vbmi,standard,padded,192,1,87381,18724363,854.498440
avx512-vbmi,standard,padded,192,2,87381,18732278,854.137386
avx512-vbmi,standard,padded,192,3,87381,18727519,854.354438
avx512-vbmi,standard,padded,192,4,87381,18717029,854.833263
avx512-vbmi,standard,padded,192,5,87381,18746415,853.493266
avx512-vbmi,standard,padded,192,6,87381,18743479,853.626958
avx512-vbmi,standard,padded,192,7,87381,18784476,851.763923
avx512-vbmi,standard,padded,192,8,87381,18722159,854.599032
avx512-vbmi,standard,padded,192,9,87381,18708533,855.221463
avx512-vbmi,standard,padded,192,10,87381,18716238,854.869390
avx512-vbmi,standard,padded,192,11,87381,18722509,854.583056
avx512-vbmi,standard,padded,192,12,87381,18720446,854.677232
avx512-vbmi,standard,padded,192,13,87381,18779026,852.011119
avx512-vbmi,standard,padded,192,14,87381,18721107,854.647055
scalar,standard,padded,384,0,43690,50150523,319.034676
scalar,standard,padded,384,1,43690,50097494,319.372379
scalar,standard,padded,384,2,43690,50127761,319.179543
scalar,standard,padded,384,3,43690,50143721,319.077953
scalar,standard,padded,384,4,43690,50123924,319.203977
scalar,standard,padded,384,5,43690,50064783,319.581049
scalar,standard,padded,384,6,43690,50146687,319.059081
scalar,standard,padded,384,7,43690,50027512,319.819140
scalar,standard,padded,384,8,43690,50221607,318.583112
scalar,standard,padded,384,9,43690,50232437,318.514426
scalar,standard,padded,384,10,43690,50275930,318.238884
scalar,standard,padded,384,11,43690,50738330,315.338638
scalar,standard,padded,384,12,43690,51359369,311.525554
scalar,standard,padded,384,13,43690,51243471,312.230135
scalar,standard,padded,384,14,43690,51608658,310.020769
ssse3-sse4.1,standard,padded,384,0,43690,19665515,813.594552
ssse3-sse4.1,standard,padded,384,1,43690,20038396,798.454919
ssse3-sse4.1,standard,padded,384,2,43690,19841987,806.358550
ssse3-sse4.1,standard,padded,384,3,43690,19981450,800.730470
ssse3-sse4.1,standard,padded,384,4,43690,20028387,798.853940
ssse3-sse4.1,standard,padded,384,5,43690,19899955,804.009650
ssse3-sse4.1,standard,padded,384,6,43690,20163993,793.481522
ssse3-sse4.1,standard,padded,384,7,43690,20315328,787.570639
ssse3-sse4.1,standard,padded,384,8,43690,20903134,765.423781
ssse3-sse4.1,standard,padded,384,9,43690,20257068,789.835719
