schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,auto,decode,standard,unpadded,16,x86_64,linux,83.732775,270.930912,0.309056,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,16,x86_64,linux,84.888548,270.930912,0.313322,non-admissible-below-scalar
1,auto,decode,standard,unpadded,2,x86_64,linux,130.664952,184.786919,0.707111,non-admissible-below-scalar
1,auto,decode,standard,unpadded,23,x86_64,linux,105.903621,279.030432,0.379541,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,23,x86_64,linux,103.730288,279.030432,0.371753,non-admissible-below-scalar
1,auto,decode,standard,unpadded,24,x86_64,linux,102.794741,280.860783,0.365999,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,24,x86_64,linux,105.549319,280.860783,0.375807,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,24,x86_64,linux,75.278692,280.860783,0.268028,non-admissible-below-scalar
1,auto,decode,standard,unpadded,3,x86_64,linux,153.921516,202.582105,0.759798,non-admissible-below-scalar
1,auto,decode,standard,unpadded,31,x86_64,linux,118.088076,281.457323,0.419559,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,31,x86_64,linux,119.618988,281.457323,0.424999,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,31,x86_64,linux,88.040706,281.457323,0.312803,non-admissible-below-scalar
1,auto,decode,standard,unpadded,32,x86_64,linux,120.313502,281.670160,0.427143,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,32,x86_64,linux,122.122559,281.670160,0.433566,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,32,x86_64,linux,89.219898,281.670160,0.316753,non-admissible-below-scalar
1,auto,decode,standard,unpadded,47,x86_64,linux,103.499763,286.497822,0.361258,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,47,x86_64,linux,104.195757,286.497822,0.363688,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,47,x86_64,linux,90.637841,286.497822,0.316365,non-admissible-below-scalar
1,auto,decode,standard,unpadded,48,x86_64,linux,141.206417,286.152183,0.493466,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,48,x86_64,linux,106.450130,286.152183,0.372005,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,48,x86_64,linux,138.871751,286.152183,0.485307,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,48,x86_64,linux,74.964214,286.152183,0.261973,non-admissible-below-scalar
1,auto,decode,standard,unpadded,63,x86_64,linux,118.114210,287.110203,0.411390,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,63,x86_64,linux,100.166520,287.110203,0.348878,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,63,x86_64,linux,118.600140,287.110203,0.413082,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,63,x86_64,linux,79.693531,287.110203,0.277571,non-admissible-below-scalar
1,auto,decode,standard,unpadded,64,x86_64,linux,118.981888,285.347840,0.416971,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,64,x86_64,linux,100.965769,285.347840,0.353834,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,64,x86_64,linux,118.176753,285.347840,0.414150,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,64,x86_64,linux,80.423439,285.347840,0.281844,non-admissible-below-scalar
1,auto,decode,standard,unpadded,65536,x86_64,linux,151.681479,292.491357,0.518584,non-admissible-below-scalar
1,avx2,decode,standard,unpadded,65536,x86_64,linux,115.958910,292.491357,0.396452,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,unpadded,65536,x86_64,linux,148.140946,292.491357,0.506480,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,unpadded,65536,x86_64,linux,79.863169,292.491357,0.273045,non-admissible-below-scalar
1,auto,decode,url-safe,padded,1,x86_64,linux,69.948343,104.779973,0.667574,non-admissible-below-scalar
1,auto,decode,url-safe,padded,1024,x86_64,linux,145.534220,310.286868,0.469031,non-admissible-below-scalar
1,avx2,decode,url-safe,padded,1024,x86_64,linux,113.030172,310.286868,0.364276,non-admissible-below-scalar
1,avx512-vbmi,decode,url-safe,padded,1024,x86_64,linux,145.353557,310.286868,0.468449,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,1024,x86_64,linux,79.801823,310.286868,0.257187,non-admissible-below-scalar
1,auto,decode,url-safe,padded,11,x86_64,linux,64.541617,275.081051,0.234628,non-admissible-below-scalar
1,auto,decode,url-safe,padded,12,x86_64,linux,70.475683,289.113504,0.243765,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,12,x86_64,linux,70.487703,289.113504,0.243806,non-admissible-below-scalar
1,auto,decode,url-safe,padded,15,x86_64,linux,80.804008,295.686254,0.273276,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,15,x86_64,linux,82.256608,295.686254,0.278189,non-admissible-below-scalar
1,auto,decode,url-safe,padded,16,x86_64,linux,82.724868,284.219566,0.291060,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,16,x86_64,linux,83.351123,284.219566,0.293263,non-admissible-below-scalar
1,auto,decode,url-safe,padded,2,x86_64,linux,122.768295,172.104938,0.713334,non-admissible-below-scalar
1,auto,decode,url-safe,padded,23,x86_64,linux,97.301031,287.292858,0.338682,non-admissible-below-scalar
1,ssse3-sse4.1,decode,url-safe,padded,23,x86_64,linux,69.744624,287.292858,0.242765,non-admissible-below-scalar
